Time,X,Y
0.0,0.0,2.81
0.0333,0.1353,2.9663
0.0667,0.2711,3.1122
0.1,0.4064,3.2468
0.1333,0.5417,3.3704
0.1667,0.6775,3.4835
0.2,0.8128,3.5854
0.2333,0.9481,3.6764
0.2667,1.0839,3.7567
0.3,1.2192,3.826
0.3333,1.3545,3.8843
0.3667,1.4903,3.9319
0.4,1.6256,3.9684
0.4333,1.7609,3.9941
0.4667,1.8967,4.0089
0.5,2.032,4.0128
0.5333,2.1673,4.0057
0.5667,2.3031,3.9878
0.6,2.4384,3.959
0.6333,2.5737,3.9193
0.6667,2.7095,3.8686
0.7,2.8448,3.8071
0.7333,2.9801,3.7348
0.7667,3.1159,3.6513
0.8,3.2512,3.5572
0.8333,3.3865,3.4522
0.8667,3.5223,3.3359
0.9,3.6576,3.2091
0.9333,3.7929,3.0715
