X,Y,error_X,error_Y
0.1356,0.1673,2.1032,0.5599
0.271,0.324,1.0526,0.289
0.4062,0.4703,0.7024,0.1991
0.541,0.6061,0.5273,0.1545
0.6756,0.7315,0.4222,0.128
0.81,0.8463,0.3522,0.1107
0.9441,0.9507,0.3022,0.0985
1.078,1.0446,0.2647,0.0897
1.2115,1.128,0.2355,0.083
1.3449,1.2009,0.2121,0.078
1.4779,1.2633,0.193,0.0741
1.6108,1.3153,0.1771,0.0712
1.7433,1.3568,0.1636,0.069
1.8756,1.3878,0.1521,0.0675
2.0077,1.4083,0.1421,0.0665
2.1394,1.4183,0.1333,0.066
2.271,1.4179,0.1256,0.0661
2.4023,1.4069,0.1188,0.0666
2.5333,1.3855,0.1126,0.0676
2.664,1.3536,0.1071,0.0692
2.7945,1.3113,0.1021,0.0714
2.9248,1.2584,0.0975,0.0744
3.0548,1.1951,0.0934,0.0784
3.1845,1.1213,0.0896,0.0835
3.314,1.037,0.0861,0.0903
3.4432,0.9422,0.0829,0.0994
3.5721,0.8369,0.0799,0.1119
3.7009,0.7212,0.0771,0.1299
