Time,X,Y,velocityX,velocityY,accelerationY,Energia_cinetica,Energia_potencial,Energia_mecanica
1.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6683,0.135643,0.167256,4.073378,5.022709,0.0,12.964206,0.977586,13.941792
1.7017,0.27103,0.324031,4.053487,4.693861,-9.8458,11.923558,1.893911,13.81747
1.735,0.406159,0.470324,4.057941,4.393178,-9.0295,11.087738,2.74897,13.836708
1.7683,0.541032,0.606136,4.050223,4.078439,-9.4516,10.24177,3.54277,13.784539
1.8017,0.675647,0.731466,4.030388,3.752404,-9.7615,9.400614,4.275306,13.67592
1.835,0.810005,0.846315,4.034786,3.448907,-9.114,8.734081,4.946578,13.680659
1.8683,0.944106,0.950682,4.027067,3.134155,-9.452,8.072461,5.556588,13.629049
1.9017,1.07795,1.044568,4.007301,2.810961,-9.6765,7.427589,6.105338,13.532927
1.935,1.211538,1.127973,4.01163,2.504636,-9.1989,6.933578,6.592823,13.526401
1.9683,1.344867,1.200896,4.003898,2.189884,-9.452,6.456306,7.019047,13.475354
2.0017,1.477941,1.263337,3.984229,1.869504,-9.5922,6.004428,7.384008,13.388436
2.035,1.610756,1.315298,3.988462,1.560366,-9.2834,5.686196,7.687707,13.373902
2.0683,1.743315,1.356776,3.980743,1.2456,-9.4524,5.393329,7.930142,13.32347
2.1017,1.875617,1.387773,3.961129,0.92806,-9.5072,5.131071,8.111316,13.242387
2.135,2.007662,1.408289,3.96532,0.616095,-9.3683,4.992033,8.231228,13.223261
2.1683,2.13945,1.418323,3.957588,0.301329,-9.4524,4.883523,8.289877,13.1734
2.2017,2.27098,1.417876,3.938043,-0.013397,-9.4229,4.807593,8.287262,13.094855
2.235,2.402254,1.406948,3.942137,-0.328176,-9.4528,4.850925,8.223388,13.074313
2.2683,2.53327,1.385537,3.934432,-0.642955,-9.4528,4.926876,8.098247,13.025123
2.3017,2.66403,1.353646,3.914957,-0.95484,-9.3379,5.033969,7.911846,12.945814
2.335,2.794532,1.311273,3.918995,-1.27246,-9.5381,5.26308,7.664183,12.927263
2.3683,2.924778,1.258418,3.911277,-1.587226,-9.4524,5.523385,7.355256,12.878641
2.4017,3.054766,1.195082,3.891858,-1.896284,-9.2532,5.810159,6.985067,12.795226
2.435,3.184497,1.121265,3.89584,-2.216731,-9.623,6.228354,6.553618,12.781972
2.4683,3.313971,1.036966,3.888108,-2.531497,-9.4524,6.673016,6.060904,12.733921
2.5017,3.443189,0.942186,3.868785,-2.837741,-9.169,7.136284,5.506927,12.643211
2.535,3.572149,0.836924,3.872671,-3.161015,-9.7079,7.746775,4.891688,12.638463
2.5683,3.700852,0.721181,3.864953,-3.475767,-9.452,8.375833,4.215189,12.591022
