,X,Y,Time,velocityX,velocityY,accelerationY,accelerationX,X_teorica,Y_teorica,Energia_cinetica,Energia_potencial,Energia_mecanica
0,0.0,0.0,1.635,0.0,0.0,0.0,0.0,6.48333,-4.35827,0.0,0.0,0.0
1,0.135643491,0.16725622499999998,1.6683,4.073378108108122,5.0227094594594766,150.83,122.32,6.615376,-4.719251,12.546005857727463,0.9834666029999999,13.529472460727463
2,0.271029957,0.324031194,1.7017,4.0534870059880115,4.6938613473053765,-9.85,-0.6,6.747819,-5.092233,11.53892737663233,1.9053034207200001,13.44423079735233
3,0.406159398,0.470324013,1.735,4.057941171171159,4.393177747747733,-9.03,0.13,6.879864,-5.474981,10.730069181597537,2.76550519644,13.495574378037537
4,0.541031814,0.606136023,1.7683,4.050222702702716,4.078438738738754,-9.45,-0.23,7.01191,-5.868596,9.911389946140035,3.56407981524,13.475469761380035
5,0.675646758,0.73146633,1.8017,4.030387544910167,3.752404401197595,-9.76,-0.59,7.144353,-6.27431,9.097368765688225,4.3010220204000005,13.398390786088225
6,0.810005124,0.846314934,1.835,4.034785765765782,3.4489070270270377,-9.11,0.13,7.276398,-6.689692,8.45233675701079,4.97633181192,13.42866856893079
7,0.944106465,0.950682282,1.8683,4.0270672972972825,3.1341545945945852,-9.45,-0.23,7.408444,-7.115941,7.812058811933876,5.59001181816,13.402070630093876
8,1.077950334,1.044568374,1.9017,4.007301467065886,2.8109608383233633,-9.68,-0.59,7.540887,-7.554387,7.187989764760796,6.14206203912,13.330051803880796
9,1.211537625,1.127972763,1.935,4.011630360360347,2.504636306306299,-9.2,0.13,7.672932,-8.002403,6.709914352509766,6.63247984644,13.342394198949766
10,1.3448674440000001,1.2008958959999998,1.9683,4.003898468468485,2.1898838738738737,-9.45,-0.23,7.804978,-8.461286,6.2480382980571365,7.061267868479999,13.309306166537135
11,1.4779406849999999,1.263337326,2.0017,3.9842287724550705,1.8695038922155707,-9.59,-0.59,7.937421,-8.932463,5.810737114280402,7.42842347688,13.239160591160402
12,1.6107564540000001,1.3152975,2.035,3.9884615315315264,1.5603655855855796,-9.28,0.13,8.069466,-9.413114,5.502769844755991,7.7339493,13.236719144755991
13,1.743315198,1.3567759709999998,2.0683,3.980743063063097,1.245599729729736,-9.45,-0.23,8.201512,-9.904631,5.219350206248327,7.977842709479999,13.197192915728326
14,1.8756169169999999,1.387773186,2.1017,3.9611293113772073,0.9280603293413142,-9.51,-0.59,8.333955,-10.40854,4.965552418904633,8.16010633368,13.125658752584634
15,2.0076620579999997,1.408289145,2.135,3.9653195495495854,0.6160948648648686,-9.37,0.13,8.466,-10.921824,4.830999603765895,8.2807401726,13.111739776365894
16,2.139449727,1.4183234009999999,2.1683,3.9575876576576565,0.30132900900900694,-9.45,-0.23,8.598046,-11.445976,4.72598977191437,8.33974159788,13.06573136979437
17,2.2709803710000003,1.4178759539999999,2.2017,3.938043233532901,-0.01339661676646663,-9.42,-0.59,8.730488,-11.982617,4.652509193554517,8.33711060952,12.989619803074516
18,2.402253543,1.406947698,2.235,3.94213729729733,-0.32817585585585657,-9.45,0.12,8.862534,-12.528535,4.694443758932826,8.27285246424,12.967296223172825
19,2.5332701369999997,1.385537292,2.2683,3.934432252252229,-0.6429551351351328,-9.45,-0.23,8.99458,-13.085321,4.7679445360077555,8.14695927696,12.914903812967756
20,2.664029706,1.35364563,2.3017,3.914957155688646,-0.9548401796407234,-9.34,-0.58,9.127022,-13.654694,4.871582789860218,7.9594363044,12.831019094260217
21,2.7945322499999996,1.311272712,2.335,3.918995315315291,-1.272459999999992,-9.54,0.12,9.259068,-14.233246,5.093303619918952,7.71028354656,12.803587166478952
22,2.924777769,1.258418091,2.3683,3.911276846846842,-1.587225855855852,-9.45,-0.23,9.391114,-14.822665,5.3452117470532565,7.39949837508,12.744710122133256
23,3.0547658159999997,1.195082214,2.4017,3.8918576946107897,-1.89628374251498,-9.25,-0.58,9.523556,-15.424771,5.62273450416835,7.027083418319999,12.64981792248835
24,3.184497285,1.121265081,2.435,3.8958399099099035,-2.216730720720711,-9.62,0.12,9.655602,-16.035957,6.027439107550129,6.59303867628,12.620477783830129
25,3.313971282,1.036966245,2.4683,3.8881080180180008,-2.5314965765765716,-9.45,-0.23,9.787648,-16.65801,6.45775766309843,6.097361520599999,12.55511918369843
26,3.4431887010000004,0.942185706,2.5017,3.868785000000033,-2.8377406886227634,-9.17,-0.58,9.92009,-17.292848,6.906080877627136,5.54005195128,12.446132828907135
27,3.572148648,0.8369239110000001,2.535,3.8726710810810627,-3.161014864864851,-9.71,0.12,10.052136,-17.936668,7.496878883441435,4.9211125966800005,12.417991480121437
28,3.70085157,0.7211808599999999,2.5683,3.8649526126126514,-3.4757672972973372,-9.45,-0.23,10.184182,-18.591355,8.105645100810898,4.240543456799999,12.346188557610898
