X,Y,Time
1483.0287,348.836,0.3167
1459.9346,338.4949,0.3333
1436.9582,328.821,0.35
1414.0994,319.8142,0.3667
1391.3581,311.4746,0.3833
1368.7345,303.8021,0.4
1346.2284,296.7967,0.4167
1323.8399,290.4585,0.4333
1301.569,284.7874,0.45
1279.4157,279.7835,0.4667
1257.38,275.4466,0.4833
1235.4619,271.777,0.5
1213.6613,268.7744,0.5167
1191.9784,266.439,0.5333
1170.413,264.7708,0.55
1148.9653,263.7696,0.5667
1127.6351,263.4356,0.5833
1106.4225,263.7688,0.6
1085.3275,264.7691,0.6167
1064.3501,266.4365,0.6333
1043.4903,268.771,0.65
1022.748,271.7727,0.6667
