Time,X,Y,X_nuevo_origen,Y_nuevo_origen,X_nuevo_origen_suavizado,Y_nuevo_origen_suavizado
0.6833,1015,276,715,474,714.7365,472.6675
0.7,1001,283,701,467,700.7704,467.9034
0.7167,987,289,687,461,686.8668,461.5386
0.7333,973,295,673,455,673.0256,454.5731
0.75,959,303,659,447,659.2468,447.007
0.7667,945,311,645,439,645.5305,438.8401
0.7833,931,320,631,430,631.8767,430.0726
0.8,918,330,618,420,618.2852,420.7043
0.8167,905,339,605,411,604.7562,410.7354
0.8333,892,349,592,401,591.2897,400.1658
0.85,879,360,579,390,577.8856,388.9955
0.8667,864,373,564,377,564.5439,377.2245
0.8833,851,384,551,366,551.2647,364.8528
0.9,839,397,539,353,538.0479,351.8804
0.9167,823,412,523,338,524.8935,338.3073
0.9333,812,426,512,324,511.8016,324.1336
0.95,799,441,499,309,498.7722,309.3591
0.9667,786,457,486,293,485.8051,293.984
0.9833,774,473,474,277,472.9005,278.0081
1.0,761,490,461,260,460.0584,261.4316
1.0167,747,506,447,244,447.2787,244.2544
1.0333,734,523,434,227,434.5614,226.4765
1.05,721,542,421,208,421.9066,208.0979
1.0667,709,561,409,189,409.3142,189.1186
1.0833,697,580,397,170,396.7842,169.5387
1.1,684,600,384,150,384.3167,149.358
1.1167,672,621,372,129,371.9116,128.5766
1.1333,660,643,360,107,359.569,107.1946
